latitud,longitud,salud,bomberos,policia
-8.12,-77.92,1,0,1
-4.89,-80.81,6,0,3
-8.13,-77.93,1,0,1
-12.89,-74.0,0,0,0
-15.86,-75.56,0,0,0
-16.18,-73.49,0,0,0
-6.96,-80.6,0,0,0
-8.48,-80.04,0,0,0
-14.9,-75.45,0,0,0
-11.72,-75.87,0,0,0
-13.94,-76.03,0,0,0
-18.56,-71.42,0,0,0
-9.48,-75.84,0,0,0
-8.54,-77.54,3,0,0
-3.9,-77.77,0,0,0
-12.54,-77.15,0,0,0
-9.33,-78.93,0,0,0
-10.42,-77.76,0,0,0
-7.25,-76.3,0,0,0
-7.78,-76.88,0,0,0
-15.26,-75.11,0,0,0
-14.1,-73.16,0,0,1
-15.67,-70.84,0,0,0
-18.24,-71.26,0,0,0
-11.69,-77.39,0,0,0
-15.12,-73.14,0,0,0
-8.02,-77.82,1,0,0
-18.61,-70.12,0,0,0
-13.47,-75.89,0,0,0
-3.19,-80.98,0,0,0
-8.65,-77.82,1,0,0
-16.72,-73.0,0,0,0
-14.25,-73.01,0,0,1
-11.55,-76.99,0,0,0
-12.24,-77.17,0,0,0
-9.83,-77.28,0,0,0
-3.74,-80.28,1,0,0
-8.64,-79.92,0,0,0
-11.55,-78.21,0,0,0
-15.83,-75.35,0,0,0
-17.84,-70.22,0,0,1
-15.8,-75.18,0,0,0
-13.96,-73.63,1,0,0
-8.48,-75.13,0,0,0
-5.77,-78.75,2,1,1
-12.15,-77.2,10,4,5
-15.61,-74.5,0,0,1
-16.81,-71.35,0,0,0
-8.67,-75.98,0,0,0
-5.72,-79.51,2,0,0
-11.18,-73.28,0,0,0
-9.42,-79.19,0,0,0
-12.36,-73.26,0,0,0
-8.41,-80.13,0,0,0
-14.25,-76.03,0,0,0
-16.86,-71.49,0,0,0
-15.17,-73.1,0,0,1
-4.93,-77.71,0,0,0
-14.27,-75.82,0,0,0
-15.4,-74.82,0,0,0
-2.35,-79.93,5,1,0
-18.46,-71.4,0,0,0
-15.72,-71.37,0,0,0
-13.77,-75.89,0,0,1
-10.64,-75.05,0,0,0
-15.14,-73.9,0,0,0
-5.0,-81.78,0,0,0
-18.42,-69.73,0,0,0
-8.91,-81.41,0,0,0
-9.96,-78.86,0,0,0
-11.31,-74.87,0,0,0
-16.28,-74.43,0,0,0
-9.0,-75.19,0,0,0
-5.51,-80.61,2,0,0
-12.73,-76.84,0,0,0
-9.03,-75.57,1,0,1
-9.15,-78.93,0,0,0
-9.7,-78.93,0,0,0
